elem# in inp 108
elem# in filter 27
Context for Device : 1
for 0 0 0, inp is 1 , filt is 1 
for 1 0 0, inp is 19 , filt is 1 
for 2 0 0, inp is 37 , filt is 1 
for 3 0 0, inp is 55 , filt is 1 
for 0 1 0, inp is 4 , filt is 1 
for 1 1 0, inp is 22 , filt is 1 
for 2 1 0, inp is 40 , filt is 1 
for 3 1 0, inp is 58 , filt is 1 
for 0 2 0, inp is 7 , filt is 1 
for 1 2 0, inp is 25 , filt is 1 
for 2 2 0, inp is 43 , filt is 1 
for 3 2 0, inp is 61 , filt is 1 
for 0 3 0, inp is 10 , filt is 1 
for 1 3 0, inp is 28 , filt is 1 
for 2 3 0, inp is 46 , filt is 1 
for 3 3 0, inp is 64 , filt is 1 
for 0 0 0, inp is 2 , filt is 0 
for 1 0 0, inp is 20 , filt is 0 
for 2 0 0, inp is 38 , filt is 0 
for 3 0 0, inp is 56 , filt is 0 
for 0 1 0, inp is 5 , filt is 0 
for 1 1 0, inp is 23 , filt is 0 
for 2 1 0, inp is 41 , filt is 0 
for 3 1 0, inp is 59 , filt is 0 
for 0 2 0, inp is 8 , filt is 0 
for 1 2 0, inp is 26 , filt is 0 
for 2 2 0, inp is 44 , filt is 0 
for 3 2 0, inp is 62 , filt is 0 
for 0 3 0, inp is 11 , filt is 0 
for 1 3 0, inp is 29 , filt is 0 
for 2 3 0, inp is 47 , filt is 0 
for 3 3 0, inp is 65 , filt is 0 
for 0 0 0, inp is 3 , filt is -1 
for 1 0 0, inp is 21 , filt is -1 
for 2 0 0, inp is 39 , filt is -1 
for 3 0 0, inp is 57 , filt is -1 
for 0 1 0, inp is 6 , filt is -1 
for 1 1 0, inp is 24 , filt is -1 
for 2 1 0, inp is 42 , filt is -1 
for 3 1 0, inp is 60 , filt is -1 
for 0 2 0, inp is 9 , filt is -1 
for 1 2 0, inp is 27 , filt is -1 
for 2 2 0, inp is 45 , filt is -1 
for 3 2 0, inp is 63 , filt is -1 
for 0 3 0, inp is 12 , filt is -1 
for 1 3 0, inp is 30 , filt is -1 
for 2 3 0, inp is 48 , filt is -1 
for 3 3 0, inp is 66 , filt is -1 
for 0 0 0, inp is 4 , filt is 1 
for 1 0 0, inp is 22 , filt is 1 
for 2 0 0, inp is 40 , filt is 1 
for 3 0 0, inp is 58 , filt is 1 
for 0 1 0, inp is 7 , filt is 1 
for 1 1 0, inp is 25 , filt is 1 
for 2 1 0, inp is 43 , filt is 1 
for 3 1 0, inp is 61 , filt is 1 
for 0 2 0, inp is 10 , filt is 1 
for 1 2 0, inp is 28 , filt is 1 
for 2 2 0, inp is 46 , filt is 1 
